SampleID,StationCode,SampleDate,Replicate,ActualLatitude,ActualLongitude,Mass,Count,ProjectCode,EventCode,ProtocolCode,AgencyCode,SampleComments,LocationCode,GeometryShape,SampleTypeCode,CollectionTime,CollectionMethodCode,CollectionDeviceName,CollectionDepth,UnitCollectionDepth,PositionWaterColumn,LabCollectionComments
RMP-14SC-1153,CB001S,8/7/2014,1,37.87631112,-122.3615019,150,264,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Point,Grab,10:47:00 AM,Sed_Grab,SFEI Mod. Van Veen Grab (0.1m2),5,cm,Not Applicable,
RMP-14SC-1270,SB002S,8/6/2014,1,37.61019366,-122.1673764,47.4,128,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Point,Grab,8:50:00 AM,Sed_Grab,SFEI Mod. Van Veen Grab (0.1m2),5,cm,Not Applicable,
LabBlank-1,LABQA,1/1/1950,1,,,100,18,17-18_MP_Moore,WQ,17-18_MP_Moore,UoT-RL,,Not Applicable,Point,LabBlank,12:00:00 AM,Not Applicable,None,-88,mm,Not Applicable,
LabBlank-2,LABQA,1/1/1950,1,,,100,0,17-18_MP_Moore,WQ,17-18_MP_Moore,UoT-RL,,Not Applicable,Point,LabBlank,12:00:00 AM,Not Applicable,None,-88,mm,Not Applicable,
LabBlank-3,LABQA,1/3/1950,1,,,100,1,17-18_MP_Moore,WQ,17-18_MP_Moore,UoT-RL,,Not Applicable,Point,LabBlank,12:00:00 AM,Not Applicable,None,-88,mm,Not Applicable,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
