SampleID,StationCode,SampleDate,ActualLatitude,ActualLongitude,EndLatitude,EndLongitude,Datum
MBNMS31-Manta-31Mar2018,MBNMS31,3/31/2018,37.508312,-122.574538,37.517702,-122.583218,WGS84
MBNMS32-Manta-27Sept2017,MBNMS32,9/27/2017,37.45035167,-122.9319883,37.461055,-122.90515,WGS84
MBNMS32-Manta-31Mar2018,MBNMS32,3/31/2018,37.444578,-122.928027,37.433418,-122.902815,WGS84
SB10-Manta-19Mar2018,SB10,3/19/2018,37.65335833,-122.2281133,37.64134167,-122.2198167,WGS84
SB10-Manta-23Aug2017,SB10,8/23/2017,37.64998333,-122.2433167,37.6709,-122.2775333,WGS84
SB11-Manta-19Mar2018,SB11,3/19/2018,37.586345,-122.2022117,37.618245,-122.211212,WGS84
SB11-Manta-23Aug2017,SB11,8/23/2017,37.59833333,-122.2502333,37.63251667,-122.2530167,WGS84
SB12-Manta-19Mar2018,SB12,3/19/2018,37.58292833,-122.270755,37.59822833,-122.2855733,WGS84
SB12-Manta-23Aug2017,SB12,8/23/2017,37.59391667,-122.2832,37.57791667,-122.2431667,WGS84
SB12-Manta-DUP-19Mar2018,SB12,3/19/2018,37.58292833,-122.270755,37.604475,-122.29071,WGS84
SB13-Manta-19Mar2018,SB13,3/19/2018,37.56488167,-122.22265,37.552352,-122.199338,WGS84
SB13-Manta-23Aug2017,SB13,8/23/2017,37.57006667,-122.21285,37.54808333,-122.1812333,WGS84
SB13-Manta-BLANK-23Aug2017,SB13,8/23/2017,37.57006667,-122.21285,,,WGS84
SFBay9-18-Manta-18Sept2017,SFBay,9/18/2017,37.82031333,-122.3572633,37.83337833,-122.361645,WGS84
SPB2-Manta-16Nov2017,SPB2,11/16/2017,38.05978,-122.42436,38.04433333,-122.424475,WGS84
SPB2-Manta-21Aug2017,SPB2,8/21/2017,38.05128333,-122.42175,38.023,-122.4281167,WGS84
SPB3-Manta-17Nov17,SPB3,11/17/2017,38.02391,-122.36821,38.03615,-122.3284,WGS84
SPB3-Manta-21Aug2017,SPB3,8/21/2017,38.02307183,-122.3715833,38.0421,-122.3219,WGS84
SPB3-Manta-BLANK-17Nov17,SPB3,11/17/2017,38.02391,-122.36821,,,WGS84
SPB3-Manta-Blank-21Aug2017,SPB3,8/21/2017,38.02307183,-122.3715833,,,WGS84
SUB1-Manta-17Nov17,SUB1,11/17/2017,38.1079,-122.057,38.09666667,-122.062225,WGS84
SUB1-Manta-21Aug2017,SUB1,8/21/2017,38.10706667,-122.0562833,38.09653333,-122.0649167,WGS84
